,,SPL (dBZ),60.3,61.5,62.3,63.2,62.3,64.6,66.7,66.4,63.4,59.8,60.4,59.4,59.9,54.2,49.1,49.4,49.7,50.8,51.1,49.8,48.6,47.2,43.7,41.5,49.4,35.6,32.9,44.7,31.4,32.7,48.5,31.0,27.2,22.3
S0069,NTU Pavilion 7,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBA),-4.1,5.7,16.6,17.6,25.1,32.9,38.1,41.7,41.8,41.7,45.8,47.9,52.4,49.4,47.6,49.4,49.9,52.1,54.1,54.9,54.5,53.9,51.4,49.7,48.2,44.8,42.6,41.8,38.3,34.1,32.5,26.3,21.8,13.6
S0069,NTU Pavilion 7,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBC),48.6,51.3,58.2,59.1,60.4,64.0,66.8,67.3,64.3,60.5,61.6,61.3,63.2,58.5,54.1,54.3,53.1,54.1,54.9,54.9,53.9,52.9,50.0,48.2,46.5,43.0,40.7,39.9,36.4,32.2,30.6,24.4,19.9,11.7
S0069,NTU Pavilion 7,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBZ),60.3,61.5,63.1,64.1,63.5,65.9,68.1,68.2,64.9,60.8,61.8,61.4,63.2,58.5,54.1,54.3,53.1,54.1,54.9,54.9,53.9,52.9,50.2,48.5,47.0,43.8,42.0,41.9,39.3,36.5,36.6,32.7,30.4,22.9
S0070,NTU Waterfall,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBA),-5.7,2.4,13.0,13.9,22.1,27.3,32.2,36.1,36.3,38.0,40.0,41.0,44.5,44.0,45.6,46.8,49.0,51.8,53.2,55.6,56.5,57.8,58.3,57.8,59.5,58.2,57.9,57.9,55.8,52.4,48.5,44.9,37.1,27.0
S0070,NTU Waterfall,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBC),47.0,49.1,54.5,55.5,57.3,59.1,60.7,61.7,58.7,56.8,56.0,54.3,55.3,52.7,52.2,51.7,52.1,53.7,54.0,55.6,55.9,56.7,57.0,56.3,57.8,56.4,56.0,56.0,53.9,50.5,46.6,43.0,35.2,25.1
S0070,NTU Waterfall,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBZ),58.7,59.8,59.5,60.4,60.3,61.1,62.1,62.6,59.2,57.1,56.2,54.4,55.3,52.7,52.2,51.7,52.1,53.7,54.0,55.6,55.9,56.8,57.2,56.6,58.3,57.2,57.3,58.0,56.9,54.9,52.7,51.1,45.9,36.3
S0071,NTU Nanyang Lake 1,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBA),-12.4,-3.0,7.8,8.7,17.9,23.3,28.1,33.3,36.8,39.8,43.9,45.2,49.1,50.3,49.0,48.4,45.7,45.3,41.7,38.3,37.1,39.6,35.4,34.9,37.9,32.6,30.0,32.1,26.6,22.3,29.3,20.1,17.8,13.0
S0071,NTU Nanyang Lake 1,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBC),40.3,42.8,49.3,50.3,53.0,55.0,56.7,58.5,58.9,58.6,59.9,58.6,60.0,58.9,55.8,53.4,48.9,47.3,42.7,38.4,36.6,38.5,34.0,33.4,36.3,30.8,28.2,30.2,24.7,20.4,27.4,18.2,15.9,11.1
S0071,NTU Nanyang Lake 1,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBZ),52.0,53.2,54.3,55.2,55.9,57.1,58.1,59.4,59.4,58.9,60.1,58.7,60.0,58.9,55.8,53.4,48.9,47.3,42.7,38.4,36.6,38.6,34.2,33.7,36.7,31.6,29.5,32.1,27.6,24.8,33.2,26.6,26.8,22.3
S0072,NTU Nanyang Lake 2,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBA),-13.4,-4.1,6.7,7.7,15.9,20.8,25.2,28.9,30.1,35.3,39.6,35.7,36.6,36.0,35.7,36.2,37.1,38.7,38.7,36.6,35.0,36.2,36.6,38.9,40.1,36.9,34.9,34.3,31.5,22.1,20.8,19.9,17.8,13.0
S0072,NTU Nanyang Lake 2,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBC),39.4,41.8,48.3,49.2,51.1,52.7,53.9,54.4,52.4,53.6,55.9,49.2,47.5,44.8,42.4,41.0,40.3,40.7,39.5,36.6,34.4,35.2,35.2,37.3,38.4,35.1,33.1,32.4,29.6,20.2,18.9,18.0,15.9,11.1
S0072,NTU Nanyang Lake 2,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBZ),51.0,52.2,53.2,54.2,54.1,54.8,55.3,55.3,53.0,53.9,56.2,49.3,47.5,44.8,42.4,41.0,40.3,40.7,39.5,36.6,34.4,35.3,35.4,37.6,38.9,35.9,34.4,34.4,32.3,24.7,25.1,26.4,26.8,22.3
S0073,NTU Nanyang Lake 3,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBA),-12.5,-5.8,4.4,5.4,13.9,18.1,22.4,26.9,28.7,37.2,42.1,34.8,31.2,31.2,32.6,34.7,34.5,36.2,36.0,35.6,34.5,34.4,33.3,35.1,33.4,32.3,32.9,32.3,30.7,23.0,21.2,20.1,17.9,13.1
S0073,NTU Nanyang Lake 3,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBC),40.2,41.9,46.0,46.9,49.0,50.2,51.0,52.2,51.0,55.3,58.5,48.5,42.1,40.0,39.2,39.5,37.8,38.1,36.9,35.7,34.0,33.3,31.9,33.5,31.7,30.5,31.1,30.4,28.8,21.1,19.3,18.2,16.0,11.2
S0073,NTU Nanyang Lake 3,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBZ),51.9,52.9,51.0,51.9,52.0,52.4,52.4,53.1,51.6,55.6,58.8,48.6,42.1,40.0,39.2,39.5,37.8,38.1,36.9,35.7,34.0,33.4,32.1,33.8,32.2,31.3,32.4,32.5,31.6,25.5,25.5,26.6,26.9,22.4
S0074,NTU Nanyang Lake 4,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBA),-12.9,-5.7,4.6,5.6,13.2,17.3,20.7,23.2,24.5,30.5,32.8,27.8,29.6,29.7,28.7,30.5,31.1,32.2,32.1,31.7,30.2,31.1,30.8,31.4,33.5,32.3,31.0,30.1,27.6,22.0,22.8,19.9,17.8,13.0
S0074,NTU Nanyang Lake 4,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBC),39.8,41.6,46.2,47.1,48.5,49.4,49.6,48.9,46.6,48.8,49.4,41.2,40.5,38.5,35.4,35.4,34.3,34.2,33.0,31.7,29.6,30.1,29.4,29.9,31.8,30.5,29.2,28.2,25.7,20.1,20.9,18.0,15.9,11.1
S0074,NTU Nanyang Lake 4,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBZ),39.8,41.6,46.2,47.1,48.5,49.4,49.6,48.9,46.6,48.8,49.4,41.2,40.5,38.5,35.4,35.4,34.3,34.2,33.0,31.7,29.6,30.1,29.4,29.9,31.8,30.5,29.2,28.2,25.7,20.1,20.9,18.0,15.9,11.1
S0075,NTU Nanyang Lake 5,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBA),-9.9,-3.5,6.5,7.4,15.9,20.6,25.3,29.5,29.2,29.4,32.1,36.1,37.1,37.1,36.6,35.6,34.3,35.5,36.1,34.7,34.0,34.0,33.7,34.4,38.6,37.3,33.8,28.7,26.3,22.3,21.2,20.0,17.9,13.1
S0075,NTU Nanyang Lake 5,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBC),42.9,44.5,48.0,49.0,51.1,52.5,53.8,55.0,51.9,48.2,48.0,49.3,47.9,45.9,43.3,40.5,37.6,37.5,37.0,34.7,33.4,32.9,32.3,32.8,36.9,35.5,32.0,26.8,24.4,20.4,19.3,18.1,16.0,11.2
S0075,NTU Nanyang Lake 5,Frequency (Hz),12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,25000
,,SPL (dBZ),54.5,55.5,53,54,54,54.6,55.1,55.9,52.4,48.6,48.2,49.4,48,45.9,43.3,40.5,37.6,37.5,37,34.7,33.4,33,32.5,33.1,37.4,36.3,33.3,28.9,27.2,24.8,25.4,26.5,26.9,22.4
